MemberNo,TransactionDate,Comments, Amount ,,,,,
680,15/01/2018,School Related Payments," 2,719.57 ",,,,,
670,15/01/2018,School Related Payments, 897.33 ,,,,,
1595,15/01/2018,Uniform and bag, 875.00 ,,,,,
1681,15/01/2018,Medical bills for Op," 61,722.41 ",,,,,
1339,12/01/2018,School Fees," 3,380.10 ",,,,,
1670,12/01/2018,Monthly Allowance," 3,500.00 ",,,,,
1669,12/01/2018,Allowance & Trip Money," 6,000.00 ",,,,,
1668,12/01/2018,Monthly Allowance," 3,500.00 ",,,,,
1643,12/01/2018,Sustenance Allowance," 2,000.00 ",,,,,
1676,12/01/2018,School Related Requests," 9,700.10 ",,,,,
1615,12/01/2018,School Related Requests," 1,950.00 ",,,,,
1339,12/01/2018,School Related Requests," 5,515.00 ",,,,,
1489,12/01/2018,School Related Requests," 3,156.90 ",,,,,
1616,12/01/2018,School Related Requests," 2,650.00 ",,,,,
1684,12/01/2018,School Related Requests, 892.00 ,,,,,
1683,12/01/2018,School Related Requests, 639.00 ,,,,,
757,12/01/2018,School Related Requests," 19,140.00 ",,,,,
1640,12/01/2018,School Related Requests," 1,271.50 ",,,,,
1639,12/01/2018,School Related Requests," 1,271.50 ",,,,,
63,11/01/2018,School Uniform & Transport," 6,119.95 ",,,,,
1686,11/01/2018,School Uniforms, 850.00 ,,,,,
1685,11/01/2018,School Uniforms, 865.00 ,,,,,
1600,11/01/2018,Driving Lessons," 3,000.00 ",,,,,
1598,11/01/2018,School Fees," 4,960.00 ",,,,,
1599,11/01/2018,School Fees," 14,880.00 ",,,,,
1601,11/01/2018,Schools Fees," 6,400.00 ",,,,,
952,11/01/2018,School Fees," 4,900.00 ",,,,,
1678,11/01/2018,School Fees & Uniform," 6,408.00 ",,,,,
593,11/01/2018,School Fees & Transport Fare," 18,600.00 ",,,,,
588,11/01/2018,School Fees & Transport Fare," 20,100.00 ",,,,,
1592,11/01/2018,Fees & Transport," 1,400.00 ",,,,,
1241,11/01/2018,Transport 7 Uniform," 3,759.99 ",,,,,
1625,11/01/2018,School Fees, 500.00 ,,,,,
1621,11/01/2018,School Fees, 500.00 ,,,,,
1624,11/01/2018,School Fees, 556.00 ,,,,,
58,10/01/2018,School Related Payments," 16,139.60 ",,,,,
633,10/01/2018,Stationery Requirements," 1,062.18 ",,,,,
1149,10/01/2018,School Related Payments," 1,463.88 ",,,,,
1615,10/01/2018,School Related Payments," 1,389.00 ",,,,,
1262,10/01/2018,School Related Payments," 3,909.46 ",,,,,
490,10/01/2018,School Fees & Uniform," 10,507.00 ",,,,,
1257,10/01/2018,School Fees & Uniform," 3,345.00 ",,,,,
1675,10/01/2018,School Fees Payment," 7,262.00 ",,,,,
520,10/01/2018,School Fees Payment," 2,200.00 ",,,,,
480,10/01/2018,School Fees Payment," 6,673.00 ",,,,,
994,10/01/2018,School Related Payments," 2,014.14 ",,,,,
989,10/01/2018,School Related Payments, 893.69 ,,,,,
1561,10/01/2018,School Related Payments," 8,965.00 ",,,,,
1611,10/01/2018,School Related Payments," 2,946.75 ",,,,,
84,10/01/2018,Monthly Allowance," 1,240.00 ",,,,,
79,10/01/2018,Monthly Allowance," 1,240.00 ",,,,,
